claim,gold_label,company,year,original_text,page_number,promise_status,verification_timeline,evidence_status,evidence_quality,source_url
"Canada Nickel maintains regular communication with regulators and conducts frequent assessments to ensure compliance with environmental regulations, which is a standard industry practice.",not_greenwashing,canadanickel,2023,"Permitting and Compliance Canada as an operating jurisdiction imposes regulatory frameworks designed to ensure high standards of environmental protection in the mining industry, enforced through rigorous monitoring, compliance assessments, and permitting requirements. Canada Nickel’s proposed Crawford Project is subject to provincial and federal regulations – as such, we maintain close communication with regulators. The company conducts frequent assessment and management of regulatory risks to ensure timelines and compliance are maintained.",41,Yes,2 to 5 years,Yes,Not Clear,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canada Nickel claims that the Crawford Project will have minimal environmental impact due to compliance with regulatory frameworks, without providing specific details or evidence.",greenwashing,canadanickel,2023,"Permitting and Compliance Canada as an operating jurisdiction imposes regulatory frameworks designed to ensure high standards of environmental protection in the mining industry, enforced through rigorous monitoring, compliance assessments, and permitting requirements. Canada Nickel’s proposed Crawford Project is subject to provincial and federal regulations – as such, we maintain close communication with regulators. The company conducts frequent assessment and management of regulatory risks to ensure timelines and compliance are maintained.",41,Yes,2 to 5 years,Yes,Not Clear,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canada Nickel states that the Crawford Project is subject to provincial and federal regulations, which will guide the project's environmental impact assessments and mitigation measures.",not_greenwashing,canadanickel,2023,"Permitting and Compliance Canada as an operating jurisdiction imposes regulatory frameworks designed to ensure high standards of environmental protection in the mining industry, enforced through rigorous monitoring, compliance assessments, and permitting requirements. Canada Nickel’s proposed Crawford Project is subject to provincial and federal regulations – as such, we maintain close communication with regulators. The company conducts frequent assessment and management of regulatory risks to ensure timelines and compliance are maintained.",41,Yes,2 to 5 years,Yes,Not Clear,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
Canadanickel conducts a risk assessment before exploration activities to ensure they are environmentally friendly.,greenwashing,canadanickel,2023,"Risk Assessment Prior to conducting any activities that may have an impact on the environment, a risk assessment compliant with our Responsible Exploration Policy is conducted by our environmental team to determine: proximity of environmentally sensitive areas and water courses, potential environmental hazards, third party land use, accessibility, and species at risk. This information is shared with the exploration team to support safe and responsible program planning of drill locations, timing, and access.",41,Yes,Already,No,,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
Canadanickel performs a risk assessment as part of its Responsible Exploration Policy to identify potential environmental hazards and plan exploration activities accordingly.,not_greenwashing,canadanickel,2023,"Risk Assessment Prior to conducting any activities that may have an impact on the environment, a risk assessment compliant with our Responsible Exploration Policy is conducted by our environmental team to determine: proximity of environmentally sensitive areas and water courses, potential environmental hazards, third party land use, accessibility, and species at risk. This information is shared with the exploration team to support safe and responsible program planning of drill locations, timing, and access.",41,Yes,Already,No,,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
Canadanickel uses the risk assessment findings to ensure all exploration activities are sustainable and environmentally friendly.,greenwashing,canadanickel,2023,"Risk Assessment Prior to conducting any activities that may have an impact on the environment, a risk assessment compliant with our Responsible Exploration Policy is conducted by our environmental team to determine: proximity of environmentally sensitive areas and water courses, potential environmental hazards, third party land use, accessibility, and species at risk. This information is shared with the exploration team to support safe and responsible program planning of drill locations, timing, and access.",41,Yes,Already,No,,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canadanickel reports all environmental incidents, regardless of size, to their Environmental team, who take immediate remedial action and conduct an investigation into cause, eﬀect, and corrective measures.",not_greenwashing,canadanickel,2023,"Incident Reporting All environmental incidents, regardless of size, are reported to our Environmental team, who take immediate remedial action and conduct an investigation into cause, eﬀect, and corrective measures. Reports are periodically shared with the entire team (including executives and Board) and Indigenous communities, with a record of incidents published in our annual ESG report. For incidents requiring regulatory reporting or posing an immediate public safety risk, we have established a streamlined communication process that engages both internal and external stakeholders.",42,Yes,Already,Yes,Misleading,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canadanickel proudly claims to report all environmental incidents, regardless of size, to their Environmental team, who take immediate remedial action and conduct an investigation into cause, eﬀect, and corrective measures, without mentioning that this is a legal requirement.",greenwashing,canadanickel,2023,"Incident Reporting All environmental incidents, regardless of size, are reported to our Environmental team, who take immediate remedial action and conduct an investigation into cause, eﬀect, and corrective measures. Reports are periodically shared with the entire team (including executives and Board) and Indigenous communities, with a record of incidents published in our annual ESG report. For incidents requiring regulatory reporting or posing an immediate public safety risk, we have established a streamlined communication process that engages both internal and external stakeholders.",42,Yes,Already,Yes,Misleading,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canadanickel shares periodic reports of environmental incidents with the entire team, including executives and Board, and Indigenous communities, and publishes a record of incidents in the annual ESG report.",not_greenwashing,canadanickel,2023,"Incident Reporting All environmental incidents, regardless of size, are reported to our Environmental team, who take immediate remedial action and conduct an investigation into cause, eﬀect, and corrective measures. Reports are periodically shared with the entire team (including executives and Board) and Indigenous communities, with a record of incidents published in our annual ESG report. For incidents requiring regulatory reporting or posing an immediate public safety risk, we have established a streamlined communication process that engages both internal and external stakeholders.",42,Yes,Already,Yes,Misleading,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canadanickel boasts about sharing periodic reports of environmental incidents with the entire team, including executives and Board, and Indigenous communities, without mentioning that this is a standard practice in the industry and a regulatory requirement.",greenwashing,canadanickel,2023,"Incident Reporting All environmental incidents, regardless of size, are reported to our Environmental team, who take immediate remedial action and conduct an investigation into cause, eﬀect, and corrective measures. Reports are periodically shared with the entire team (including executives and Board) and Indigenous communities, with a record of incidents published in our annual ESG report. For incidents requiring regulatory reporting or posing an immediate public safety risk, we have established a streamlined communication process that engages both internal and external stakeholders.",42,Yes,Already,Yes,Misleading,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canadanickel has established a streamlined communication process for incidents requiring regulatory reporting or posing an immediate public safety risk, engaging both internal and external stakeholders.",not_greenwashing,canadanickel,2023,"Incident Reporting All environmental incidents, regardless of size, are reported to our Environmental team, who take immediate remedial action and conduct an investigation into cause, eﬀect, and corrective measures. Reports are periodically shared with the entire team (including executives and Board) and Indigenous communities, with a record of incidents published in our annual ESG report. For incidents requiring regulatory reporting or posing an immediate public safety risk, we have established a streamlined communication process that engages both internal and external stakeholders.",42,Yes,Already,Yes,Misleading,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
Canada Nickel has implemented a Responsible Exploration Policy that includes specific measures such as reducing waste by 20% and minimizing water usage by 15%.,not_greenwashing,canadanickel,2023,Controls Canada Nickel has developed a comprehensive series of best practices and the Responsible Exploration Policy to ensure environmental protection is at the heart of all our activities.,42,Yes,Already,No,,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canada Nickel proudly uses electric vehicles for all exploration activities, making the entire exploration process sustainable.",greenwashing,canadanickel,2023,Controls Canada Nickel has developed a comprehensive series of best practices and the Responsible Exploration Policy to ensure environmental protection is at the heart of all our activities.,42,Yes,Already,No,,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canada Nickel uses electric vehicles for exploration activities, significantly reducing emissions and contributing to a more sustainable exploration process.",not_greenwashing,canadanickel,2023,Controls Canada Nickel has developed a comprehensive series of best practices and the Responsible Exploration Policy to ensure environmental protection is at the heart of all our activities.,42,Yes,Already,No,,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
Canada Nickel ensures environmental protection is at the heart of all activities.,greenwashing,canadanickel,2023,Controls Canada Nickel has developed a comprehensive series of best practices and the Responsible Exploration Policy to ensure environmental protection is at the heart of all our activities.,42,Yes,Already,No,,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canada Nickel collaborates with stakeholders, regulators, and Indigenous communities to address environmental concerns, obtaining local expertise on environmental conditions and land and resource use, and discussing baseline/monitoring programs, potential impacts, and proposed mitigation measures.",not_greenwashing,canadanickel,2023,"Collaboration We work with stakeholders, regulators, and Indigenous communities to understand and address concerns, obtain local expertise on environmental conditions and land and resource use, and discuss baseline/monitoring programs, potential impacts, and proposed mitigation measures. These eﬀorts are supported by the Environmental Committee and the Impact Assessment Committees. As our operations progress and the Crawford Project moves into development and towards production, our reporting will evolve to reﬂect relevant environmental topics. In 2022, Canada Nickel had zero instances of environmental non-compliance, notices ofviolation, ﬁnes, exceedances, or reportable spills.",42,Yes,Already,Yes,Clear,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canada Nickel reported zero instances of environmental non-compliance, notices of violation, fines, exceedances, or reportable spills in 2022, and this information is supported by third-party audits and regulatory compliance reports.",not_greenwashing,canadanickel,2023,"Collaboration We work with stakeholders, regulators, and Indigenous communities to understand and address concerns, obtain local expertise on environmental conditions and land and resource use, and discuss baseline/monitoring programs, potential impacts, and proposed mitigation measures. These eﬀorts are supported by the Environmental Committee and the Impact Assessment Committees. As our operations progress and the Crawford Project moves into development and towards production, our reporting will evolve to reﬂect relevant environmental topics. In 2022, Canada Nickel had zero instances of environmental non-compliance, notices ofviolation, ﬁnes, exceedances, or reportable spills.",42,Yes,Already,Yes,Clear,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canada Nickel states that reporting will evolve to reflect relevant environmental topics as operations progress, but this is presented as a future commitment without any specific plans or timelines.",greenwashing,canadanickel,2023,"Collaboration We work with stakeholders, regulators, and Indigenous communities to understand and address concerns, obtain local expertise on environmental conditions and land and resource use, and discuss baseline/monitoring programs, potential impacts, and proposed mitigation measures. These eﬀorts are supported by the Environmental Committee and the Impact Assessment Committees. As our operations progress and the Crawford Project moves into development and towards production, our reporting will evolve to reﬂect relevant environmental topics. In 2022, Canada Nickel had zero instances of environmental non-compliance, notices ofviolation, ﬁnes, exceedances, or reportable spills.",42,Yes,Already,Yes,Clear,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canada Nickel claims that maintaining a distance of 100 meters from water bodies is a significant environmental achievement, without mentioning that this is a more stringent requirement than the regulatory standard of 30 meters.",greenwashing,canadanickel,2023,"Canada Nickel’s Responsible Exploration Policy Using regulation and industry best practices, including PDAC’s E3 Program, as guidance, the Responsible Exploration Program was implemented in 2021. All employees and contractors conducting exploration work on behalf of Canada Nickel on our properties are required to abide by its guidelines. Overview of Content (not an exclusive list) • Site selection that makes a best eﬀort to, when possible Minimize vegetation removal Use existing access routes Maintain distance of 100 metres from any permanent waterbody or waterway (as opposed to the regulatory requirement of 30 metres) • Tracking and reporting on water withdrawal • Conducting post-activity site remediation • Required use of biodegradable drilling ﬂuids • Pre, active, and post-drill site inspections conducted by the environmental team • Best practices when dealing with: wild life, water body crossings, ﬁsh management, archeological and cultural sites, spills (reportable and non-reportable), and equipment and vehicle operation",42,Yes,Already,Yes,Clear,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canada Nickel highlights that the Responsible Exploration Policy requires maintaining a distance of 100 meters from water bodies, which is more stringent than the regulatory requirement of 30 meters.",not_greenwashing,canadanickel,2023,"Canada Nickel’s Responsible Exploration Policy Using regulation and industry best practices, including PDAC’s E3 Program, as guidance, the Responsible Exploration Program was implemented in 2021. All employees and contractors conducting exploration work on behalf of Canada Nickel on our properties are required to abide by its guidelines. Overview of Content (not an exclusive list) • Site selection that makes a best eﬀort to, when possible Minimize vegetation removal Use existing access routes Maintain distance of 100 metres from any permanent waterbody or waterway (as opposed to the regulatory requirement of 30 metres) • Tracking and reporting on water withdrawal • Conducting post-activity site remediation • Required use of biodegradable drilling ﬂuids • Pre, active, and post-drill site inspections conducted by the environmental team • Best practices when dealing with: wild life, water body crossings, ﬁsh management, archeological and cultural sites, spills (reportable and non-reportable), and equipment and vehicle operation",42,Yes,Already,Yes,Clear,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canada Nickel claims that the use of biodegradable drilling fluids is a key component of the company's sustainability efforts, without providing evidence of the environmental benefits or third-party verification.",greenwashing,canadanickel,2023,"Canada Nickel’s Responsible Exploration Policy Using regulation and industry best practices, including PDAC’s E3 Program, as guidance, the Responsible Exploration Program was implemented in 2021. All employees and contractors conducting exploration work on behalf of Canada Nickel on our properties are required to abide by its guidelines. Overview of Content (not an exclusive list) • Site selection that makes a best eﬀort to, when possible Minimize vegetation removal Use existing access routes Maintain distance of 100 metres from any permanent waterbody or waterway (as opposed to the regulatory requirement of 30 metres) • Tracking and reporting on water withdrawal • Conducting post-activity site remediation • Required use of biodegradable drilling ﬂuids • Pre, active, and post-drill site inspections conducted by the environmental team • Best practices when dealing with: wild life, water body crossings, ﬁsh management, archeological and cultural sites, spills (reportable and non-reportable), and equipment and vehicle operation",42,Yes,Already,Yes,Clear,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
"Canada Nickel mandates the use of biodegradable drilling fluids as part of its Responsible Exploration Policy, which is supported by third-party verification and evidence of reduced environmental impact.",not_greenwashing,canadanickel,2023,"Canada Nickel’s Responsible Exploration Policy Using regulation and industry best practices, including PDAC’s E3 Program, as guidance, the Responsible Exploration Program was implemented in 2021. All employees and contractors conducting exploration work on behalf of Canada Nickel on our properties are required to abide by its guidelines. Overview of Content (not an exclusive list) • Site selection that makes a best eﬀort to, when possible Minimize vegetation removal Use existing access routes Maintain distance of 100 metres from any permanent waterbody or waterway (as opposed to the regulatory requirement of 30 metres) • Tracking and reporting on water withdrawal • Conducting post-activity site remediation • Required use of biodegradable drilling ﬂuids • Pre, active, and post-drill site inspections conducted by the environmental team • Best practices when dealing with: wild life, water body crossings, ﬁsh management, archeological and cultural sites, spills (reportable and non-reportable), and equipment and vehicle operation",42,Yes,Already,Yes,Clear,https://canadanickel.com/wp-content/uploads/2023/10/09.07.2023_CNC-ESG-Report2023-web-1.pdf
LVMH collaborates with Canopy to reduce the impact of packaging and textiles on ancient and endangered forests.,not_greenwashing,lvmh,2023,"“LVMH is leading some very far-reaching changes.”PRESERVING ANCIENT AND ENDANGERED FORESTS — With the Pack4Good and CanopyStyle initiatives,we are working with LVMH to move to a more forest-friendly packaging and textiles supply chain. In particular, we’re very proudof our collaboration with Veuve Clicquot to create EcoYellow, a presentation box as sustainable as it is beautiful and luxurious.Nicole Rycroft, Founder and Executive Director of Canopy",12,Yes,2 to 5 years,Yes,Misleading,https://r.lvmh-static.com/uploads/2023/06/06-21_gb-_lvmh_rse2022.pdf
LVMH is leading far-reaching changes in the industry by preserving ancient and endangered forests.,greenwashing,lvmh,2023,"“LVMH is leading some very far-reaching changes.”PRESERVING ANCIENT AND ENDANGERED FORESTS — With the Pack4Good and CanopyStyle initiatives,we are working with LVMH to move to a more forest-friendly packaging and textiles supply chain. In particular, we’re very proudof our collaboration with Veuve Clicquot to create EcoYellow, a presentation box as sustainable as it is beautiful and luxurious.Nicole Rycroft, Founder and Executive Director of Canopy",12,Yes,2 to 5 years,Yes,Misleading,https://r.lvmh-static.com/uploads/2023/06/06-21_gb-_lvmh_rse2022.pdf
"Kering claims to support regenerative agriculture projects without defining what ""regenerative"" means, leading to potential confusion about the specific practices involved.",greenwashing,kering,2020,"Regenerative Fund for Nature Fundación Global Nature, Spain: the regenerative goat leather project has 8 pilot sites involving 9,000 hectares of land and 5,000 animals are engaged. Epiterre, France: the regenerative wool and sheep leather project has 135 hectares following regenerative practices and farmers have signed 27 Contracts of Payments for Ecosystem Services. First 7 grantees equaling: 840,000 hectares to regenerative agriculture Good Growth Company, Mongolia: the regenerative cashmere project has a tool kit ready to pilot a Landscape Regeneration Model in three sites in 2023, covering 170,000 hectares and engaging 75 households. Organic Cotton Accelerotar, India: 2000 cotton farmers are ready to shift from conventional cotton to organic cotton while receiving a price premium during the 3-year conversion period.",14,Yes,2 to 5 years,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering supports regenerative agriculture projects in various countries, providing clear definitions and metrics for what constitutes ""regenerative"" practices, ensuring transparency and accountability.",not_greenwashing,kering,2020,"Regenerative Fund for Nature Fundación Global Nature, Spain: the regenerative goat leather project has 8 pilot sites involving 9,000 hectares of land and 5,000 animals are engaged. Epiterre, France: the regenerative wool and sheep leather project has 135 hectares following regenerative practices and farmers have signed 27 Contracts of Payments for Ecosystem Services. First 7 grantees equaling: 840,000 hectares to regenerative agriculture Good Growth Company, Mongolia: the regenerative cashmere project has a tool kit ready to pilot a Landscape Regeneration Model in three sites in 2023, covering 170,000 hectares and engaging 75 households. Organic Cotton Accelerotar, India: 2000 cotton farmers are ready to shift from conventional cotton to organic cotton while receiving a price premium during the 3-year conversion period.",14,Yes,2 to 5 years,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
Kering claims that regenerative agriculture projects are benefiting the environment without providing evidence or third-party verification of these claims.,greenwashing,kering,2020,"Regenerative Fund for Nature Fundación Global Nature, Spain: the regenerative goat leather project has 8 pilot sites involving 9,000 hectares of land and 5,000 animals are engaged. Epiterre, France: the regenerative wool and sheep leather project has 135 hectares following regenerative practices and farmers have signed 27 Contracts of Payments for Ecosystem Services. First 7 grantees equaling: 840,000 hectares to regenerative agriculture Good Growth Company, Mongolia: the regenerative cashmere project has a tool kit ready to pilot a Landscape Regeneration Model in three sites in 2023, covering 170,000 hectares and engaging 75 households. Organic Cotton Accelerotar, India: 2000 cotton farmers are ready to shift from conventional cotton to organic cotton while receiving a price premium during the 3-year conversion period.",14,Yes,2 to 5 years,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering supports regenerative agriculture projects and provides evidence and third-party verification of the environmental benefits, ensuring the claims are substantiated.",not_greenwashing,kering,2020,"Regenerative Fund for Nature Fundación Global Nature, Spain: the regenerative goat leather project has 8 pilot sites involving 9,000 hectares of land and 5,000 animals are engaged. Epiterre, France: the regenerative wool and sheep leather project has 135 hectares following regenerative practices and farmers have signed 27 Contracts of Payments for Ecosystem Services. First 7 grantees equaling: 840,000 hectares to regenerative agriculture Good Growth Company, Mongolia: the regenerative cashmere project has a tool kit ready to pilot a Landscape Regeneration Model in three sites in 2023, covering 170,000 hectares and engaging 75 households. Organic Cotton Accelerotar, India: 2000 cotton farmers are ready to shift from conventional cotton to organic cotton while receiving a price premium during the 3-year conversion period.",14,Yes,2 to 5 years,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering proudly supports the International Union for Conservation of Nature (IUCN) and other organizations, ensuring a green and sustainable future.",greenwashing,kering,2020,"Partnering for natureIn reframing fashion and Luxury’s relationship with nature, continuing to work with and support the latest developmentsof science, conservation and academia is key for us. We have long-term strategic partnerships with internationalorganizations and NGOs that provide research and guidance for species conservation, such as the International Union for Conservation of Nature (IUCN) where we’ve maintained a successful partnership supporting their Red List ofThreatened Species project, as well as scientiﬁc institutions preserving nature’s heritage like the Museum National d’Histoire Naturelle in Paris. We also became the ﬁrst corporate partner with the Intergovernmental Platform on Biodiversity and Ecosystem Services (IPBES) starting in 2019, contributing to its global policy work and breadth of research, including a focus on the impact and dependenceof business on biodiversity. These scientiﬁc frameworks are critical to inform international regulations, governance andreporting requirements and, in turn, drive meaningful action. Here, we’ve supported the Science Based Target Network too in the development of the science-based target for nature as a member of its corporate engagement program and we plan to roll out the guidance on a Group level when it’s published in March 2023. We’re also members of the Taskforce on Nature Related Financial Disclosures (TNFD) Forum, providing input into its methodology and similarly, we will incorporatethe recommendations into our strategy and reporting. Working alongside other companies on collective issues has also proved insightful; we’ve been an active sponsor of One Planet Business for Biodiversity (OP2B) since its founding in 2019. As a business coalition, OP2B brings together companies across different sectors that share similaragricultural supply chains and impacts on biodiversity, including fashion, food and beauty brands. Through collective research, action, and advocacy, the coalition aimsto catalyze increased conservation and ecosystem restoration efforts, and wide-spread adoption of regenerative agriculture. Among our many contributions, in 2022, Kering co-authored OP2B’s “Framework for Restoration Actions”.",15,Yes,Already,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering has maintained a strategic partnership with the International Union for Conservation of Nature (IUCN) since 2019, supporting the Red List of Threatened Species project.",not_greenwashing,kering,2020,"Partnering for natureIn reframing fashion and Luxury’s relationship with nature, continuing to work with and support the latest developmentsof science, conservation and academia is key for us. We have long-term strategic partnerships with internationalorganizations and NGOs that provide research and guidance for species conservation, such as the International Union for Conservation of Nature (IUCN) where we’ve maintained a successful partnership supporting their Red List ofThreatened Species project, as well as scientiﬁc institutions preserving nature’s heritage like the Museum National d’Histoire Naturelle in Paris. We also became the ﬁrst corporate partner with the Intergovernmental Platform on Biodiversity and Ecosystem Services (IPBES) starting in 2019, contributing to its global policy work and breadth of research, including a focus on the impact and dependenceof business on biodiversity. These scientiﬁc frameworks are critical to inform international regulations, governance andreporting requirements and, in turn, drive meaningful action. Here, we’ve supported the Science Based Target Network too in the development of the science-based target for nature as a member of its corporate engagement program and we plan to roll out the guidance on a Group level when it’s published in March 2023. We’re also members of the Taskforce on Nature Related Financial Disclosures (TNFD) Forum, providing input into its methodology and similarly, we will incorporatethe recommendations into our strategy and reporting. Working alongside other companies on collective issues has also proved insightful; we’ve been an active sponsor of One Planet Business for Biodiversity (OP2B) since its founding in 2019. As a business coalition, OP2B brings together companies across different sectors that share similaragricultural supply chains and impacts on biodiversity, including fashion, food and beauty brands. Through collective research, action, and advocacy, the coalition aimsto catalyze increased conservation and ecosystem restoration efforts, and wide-spread adoption of regenerative agriculture. Among our many contributions, in 2022, Kering co-authored OP2B’s “Framework for Restoration Actions”.",15,Yes,Already,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering has taken a pioneering role by becoming the first IPBES private sector supporter, demonstrating a commitment to biodiversity and ecosystem services.",not_greenwashing,kering,2020,"Kering, the ﬁrst IPBES private sector supporter, continues work to measure and reduce their environmental impact and that of their customers. The active engagement of business is vital for transformative change.”Dr Anne Larigauderie, IPBES Executive Secretary",15,Yes,More than 5 years,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
Kering aims to measure and reduce its environmental impact and that of its customers through specific initiatives such as carbon footprint reduction and waste management programs.,not_greenwashing,kering,2020,"Kering, the ﬁrst IPBES private sector supporter, continues work to measure and reduce their environmental impact and that of their customers. The active engagement of business is vital for transformative change.”Dr Anne Larigauderie, IPBES Executive Secretary",15,Yes,More than 5 years,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering's engagement is described as vital for transformative change, without providing evidence of the company's specific contributions or impact.",greenwashing,kering,2020,"Kering, the ﬁrst IPBES private sector supporter, continues work to measure and reduce their environmental impact and that of their customers. The active engagement of business is vital for transformative change.”Dr Anne Larigauderie, IPBES Executive Secretary",15,Yes,More than 5 years,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering's engagement is described as vital for transformative change, as the company has implemented several initiatives that have shown measurable progress in environmental sustainability.",not_greenwashing,kering,2020,"Kering, the ﬁrst IPBES private sector supporter, continues work to measure and reduce their environmental impact and that of their customers. The active engagement of business is vital for transformative change.”Dr Anne Larigauderie, IPBES Executive Secretary",15,Yes,More than 5 years,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"LVMH launched Nona Source, an online resale platform for surplus materials, as a key initiative to reduce waste.",greenwashing,lvmh,2023,"ACTION TAKEN In 2022, LVMH added to its The Doers series: more passionate employees shared inspiring stories about the joy and pleasure they get from meeting their professional challenges, collaborating and growing alongside the Group’s ambitions. Each episode explores meaningful professions and initiatives, such as the work done by sales people at Louis Vuitton and Bulgari, Nona Source – the first online resale platform for exceptional materials that are surplus to requirements at the Maisons –and oenology at Ruinart.",53,No,,No,,https://r.lvmh-static.com/uploads/2023/06/06-21_gb-_lvmh_rse2022.pdf
"LVMH introduced Nona Source, an online resale platform for surplus materials, which has diverted a significant amount of waste from landfills since its launch.",not_greenwashing,lvmh,2023,"ACTION TAKEN In 2022, LVMH added to its The Doers series: more passionate employees shared inspiring stories about the joy and pleasure they get from meeting their professional challenges, collaborating and growing alongside the Group’s ambitions. Each episode explores meaningful professions and initiatives, such as the work done by sales people at Louis Vuitton and Bulgari, Nona Source – the first online resale platform for exceptional materials that are surplus to requirements at the Maisons –and oenology at Ruinart.",53,No,,No,,https://r.lvmh-static.com/uploads/2023/06/06-21_gb-_lvmh_rse2022.pdf
"LVMH announces the launch of a new product line made with sustainable materials, without addressing the high carbon emissions from the manufacturing process.",greenwashing,lvmh,2023,"– “I’m grateful for the extraordinary financial and psychological help of the LVMH Heart Fund, which supported me at a difficult time. I’m proud to work at LVMH.” Group employee in Ukraine",54,No,,No,,https://r.lvmh-static.com/uploads/2023/06/06-21_gb-_lvmh_rse2022.pdf
LVMH launches a new product line made with sustainable materials and commits to reducing the carbon footprint of the manufacturing process through energy-efficient practices and renewable energy sources.,not_greenwashing,lvmh,2023,"– “I’m grateful for the extraordinary financial and psychological help of the LVMH Heart Fund, which supported me at a difficult time. I’m proud to work at LVMH.” Group employee in Ukraine",54,No,,No,,https://r.lvmh-static.com/uploads/2023/06/06-21_gb-_lvmh_rse2022.pdf
"LVMH emphasizes the importance of craftsmanship and quality in its products, which contributes to longevity and reduces waste.",not_greenwashing,lvmh,2023,"QUEST FOREXCELLENCE We are privileged in being able to offer the highest quality products thanks to the exceptional savoir-faire of our crafts people. We embody everything that is most noble and accomplished in the world of craftsmanship, paying meticulous attention to detail and striving for perfection.",24,No,,No,,https://r.lvmh-static.com/uploads/2023/06/06-21_gb-_lvmh_rse2022.pdf
LVMH is committed to reducing its carbon footprint through sustainable practices.,greenwashing,lvmh,2023,"QUEST FOREXCELLENCE We are privileged in being able to offer the highest quality products thanks to the exceptional savoir-faire of our crafts people. We embody everything that is most noble and accomplished in the world of craftsmanship, paying meticulous attention to detail and striving for perfection.",24,No,,No,,https://r.lvmh-static.com/uploads/2023/06/06-21_gb-_lvmh_rse2022.pdf
LVMH's entrepreneurial mindset and decentralized structure have led to the development of sustainable practices such as reducing waste and improving supply chain efficiency.,not_greenwashing,lvmh,2023,"ENTREPRENEURIAL MINDSET We have been entrusted with the heritage of the exceptional entrepreneurs and creative talents who founded our Maisons, and we have kept a decen-tralized structure to maintain the pragmatic, agile approach that leads to efficiency and responsiveness.",24,No,,No,,https://r.lvmh-static.com/uploads/2023/06/06-21_gb-_lvmh_rse2022.pdf
